,0
481,-3.0
482,-3.0
483,-3.0
484,-3.0
485,-3.0
486,0.0
487,20.0
488,66.0
489,113.0
490,122.0
491,88.0
492,44.0
493,14.0
494,0.0
495,-4.0
496,-6.0
497,-7.0
498,-8.0
499,-8.0
500,-7.0
501,-6.0
502,-5.0
503,-5.0
504,-5.0
505,-5.0
506,-4.0
507,-3.0
508,-3.0
509,-3.0
510,-2.0
511,-1.0
512,-1.0
513,-1.0
514,0.0
515,0.0
516,1.0
517,1.0
518,2.0
519,2.0
520,4.0
521,5.0
522,8.0
523,10.0
524,12.0
525,14.0
526,16.0
527,17.0
528,18.0
529,18.0
530,16.0
531,14.0
532,11.0
533,7.0
534,4.0
535,1.0
536,0.0
537,-2.0
538,-4.0
539,-6.0
540,-7.0
541,-8.0
542,-8.0
543,-8.0
544,-8.0
545,-8.0
546,-8.0
547,-9.0
548,-8.0
549,-8.0
550,-8.0
551,-8.0
552,-8.0
553,-8.0
554,-8.0
555,-8.0
556,-7.0
557,-7.0
558,-6.0
559,-5.0
560,-5.0
561,-6.0
562,-6.0
563,-6.0
564,-5.0
565,-5.0
566,-4.0
567,-3.0
568,-3.0
569,-2.0
570,-1.0
571,0.0
572,0.0
573,-1.0
574,-2.0
575,-3.0
576,-2.0
577,-2.0
578,-2.0
579,-3.0
580,-3.0
581,-3.0
582,-3.0
583,-3.0
584,-2.0
585,8.0
586,43.0
587,96.0
588,128.0
589,111.0
590,63.0
591,23.0
592,4.0
593,-3.0
594,-5.0
595,-7.0
596,-8.0
597,-8.0
598,-8.0
599,-7.0
600,-7.0
601,-6.0
602,-5.0
603,-5.0
604,-5.0
605,-4.0
606,-4.0
607,-3.0
608,-3.0
609,-2.0
610,-2.0
611,-1.0
612,0.0
613,0.0
614,0.0
615,1.0
616,2.0
617,2.0
618,3.0
619,4.0
620,6.0
621,8.0
622,10.0
623,12.0
624,15.0
625,17.0
626,18.0
627,17.0
628,16.0
629,15.0
630,12.0
631,9.0
632,5.0
633,2.0
634,0.0
635,-1.0
636,-4.0
637,-6.0
638,-7.0
639,-8.0
640,-8.0
641,-8.0
642,-8.0
643,-8.0
644,-8.0
645,-8.0
646,-8.0
647,-8.0
648,-8.0
649,-8.0
650,-8.0
651,-8.0
652,-8.0
653,-7.0
654,-7.0
655,-6.0
656,-5.0
657,-5.0
658,-6.0
659,-6.0
660,-5.0
661,-5.0
662,-4.0
663,-3.0
664,-3.0
665,-2.0
666,-1.0
667,-1.0
668,-1.0
669,-1.0
670,-1.0
671,-1.0
672,-3.0
673,-3.0
674,-2.0
675,-2.0
676,-3.0
677,-3.0
678,-2.0
679,-1.0
680,-1.0
681,-2.0
682,-1.0
683,13.0
684,58.0
685,113.0
686,130.0
687,96.0
688,48.0
689,15.0
690,1.0
691,-3.0
692,-5.0
693,-6.0
694,-7.0
695,-7.0
696,-7.0
697,-7.0
698,-6.0
699,-5.0
700,-5.0
701,-5.0
702,-4.0
703,-4.0
704,-3.0
705,-3.0
706,-3.0
707,-2.0
708,-1.0
709,-1.0
710,0.0
711,0.0
712,0.0
713,2.0
714,2.0
715,3.0
716,4.0
717,5.0
718,8.0
719,10.0
720,12.0
721,14.0
722,16.0
723,18.0
724,18.0
725,17.0
726,17.0
727,15.0
728,12.0
729,8.0
730,4.0
731,2.0
732,0.0
733,-2.0
734,-4.0
735,-6.0
736,-7.0
737,-8.0
738,-8.0
739,-8.0
740,-9.0
741,-9.0
742,-9.0
743,-8.0
744,-8.0
745,-8.0
746,-8.0
747,-8.0
748,-8.0
749,-8.0
750,-8.0
751,-7.0
752,-7.0
753,-6.0
754,-6.0
755,-6.0
756,-5.0
757,-5.0
758,-6.0
759,-5.0
760,-5.0
761,-4.0
